temperature,vibration,label
38.24,56.0,0
38.24,56.0,0
38.24,56.0,0
38.24,56.0,0
38.24,56.0,0
38.24,56.0,0
38.24,56.0,0
38.24,55.0,0
38.48,56.0,0
38.24,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.01,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.71,56.0,0
38.94,56.0,0
38.71,56.0,0
38.48,56.0,0
38.71,56.0,0
38.71,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.48,56.0,0
38.71,56.0,0
38.48,56.0,0
38.48,56.0,0
55.0,38.71,1
56.0,38.71,1
56.0,38.71,1
55.0,38.71,1
56.0,38.48,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
55.0,38.71,1
56.0,38.71,1
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
56.0,38.71,1
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.48,56.0,0
39.18,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.48,57.0,0
38.71,56.0,0
38.71,56.0,0
38.48,56.0,0
38.71,56.0,0
38.71,56.0,0
38.71,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
38.94,56.0,0
